skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon
Eggberge,Altdorf,Altdorf,8.0,4.0,4.0,0.0,1460,1740,280,2,32.0,34.0,2.6,46.88406753540039,8.638408660888672
Languard,Pontresina,Pontresina,1.0,1.0,0.0,0.0,1830,1920,90,5,35.0,37.0,2.6,46.4935302734375,9.90217113494873
Tramelan,,Tramelan,14.0,6.0,6.0,2.0,920,1228,308,3,32.0,34.0,2.6,47.220829010009766,7.106607913970947
Fideriser Heuberge,Fideris,Fideris,15.0,5.0,9.0,1.0,1952,2356,404,4,46.0,49.0,2.6,46.91518020629883,9.740965843200684
Schwefelberg,Badmatte,Badmatte,7.0,5.0,0.0,2.0,1386,1704,318,1,28.0,30.0,2.6,47.034629821777344,7.626102924346924
Atzmännig,Goldingen,Goldingen,8.0,3.0,5.0,0.0,821,1198,377,5,35.0,37.0,2.5,47.2635612487793,8.96599006652832
Rigi,Scheidegg,Scheidegg,5.0,5.0,0.0,0.0,1012,1656,644,5,34.0,36.0,2.5,47.3007926940918,9.35722827911377
La Forclaz,,La Forclaz,15.0,8.0,7.0,0.0,1730,2200,470,3,28.0,30.0,2.5,46.05557632446289,7.0015692710876465
Gitschenen,Isenthal,Isenthal,5.0,3.0,2.0,0.0,1353,1570,217,2,32.0,34.0,2.5,46.91292190551758,8.579693794250488
Les Paccots,Corbetta,Corbetta,9.0,5.0,2.0,2.0,1065,1593,528,11,39.0,42.0,2.5,46.514183044433594,6.942561149597168
Rigi,,Rigi,9.0,4.5,4.5,0.0,1315,1752,437,7,78.0,83.0,2.5,47.02582931518555,8.524199485778809
Säntis,Schwägalp,Schwägalp,0.0,0.0,0.0,0.0,1351,2473,1122,1,,,2.5,47.26875686645508,9.32397174835205
Gspon,,Gspon,5.0,1.5,3.5,0.0,1865,2193,328,4,41.0,44.0,2.5,46.22529983520508,7.902390480041504
Ratzi,Spiringen,Spiringen,3.6,2.0,1.6,0.0,950,1840,890,2,36.0,38.0,2.5,46.8696403503418,8.754908561706543
Avers,,Avers,8.0,2.0,2.0,4.0,1988,2539,551,3,35.0,37.0,2.5,46.505889892578125,9.4657564163208
Blonay,,Blonay,8.0,4.0,4.0,0.0,1080,1360,280,7,37.0,39.0,2.5,46.476009368896484,6.899766445159912
L'Abbaye,,L'Abbaye,10.0,6.0,3.0,1.0,1010,1437,427,4,30.0,32.0,2.5,46.92864227294922,6.828085422515869
Le Pâquier,Val-de-Ruz,Val-de-Ruz,10.0,5.5,2.5,2.0,862,1263,401,3,32.0,34.0,2.5,47.05558776855469,6.877685546875
Selital,Schwarzenbühl,Schwarzenbühl,10.1,4.7,4.3,1.1,1299,1606,307,3,40.0,43.0,2.5,46.74787521362305,7.388399600982666
Bumbach,,Bumbach,10.0,6.0,3.0,1.0,920,1365,445,4,35.0,37.0,2.5,47.17528533935547,8.5855131149292
Neusell,Rothenthurm-Biberegg,Rothenthurm-Biberegg,10.0,5.0,3.5,1.5,954,1329,375,3,29.0,31.0,2.5,47.091766357421875,8.667120933532715
Les Breuleux,,Les Breuleux,10.0,5.0,4.0,1.0,1070,1246,176,2,24.0,26.0,2.5,47.21285629272461,7.001491546630859
Habkern,Sattelegg,Sattelegg,8.0,2.0,4.0,2.0,1100,1485,385,2,37.0,39.0,2.5,46.75276184082031,7.740549564361572
Bannalp,Oberrickenbach,Oberrickenbach,3.0,2.5,0.5,0.0,1663,1793,130,3,34.0,36.0,2.4,46.89530563354492,8.407651901245117
Aeschiried,,Aeschiried,9.5,6.5,3.0,0.0,927,1389,462,3,35.0,37.0,2.4,46.64799118041992,7.715985298156738
Kerenzerberg,Filzbach,Filzbach,0.0,0.0,0.0,0.0,746,1283,537,1,,,2.4,47.11302185058594,9.134771347045898
Fanas,,Fanas,0.5,0.5,0.0,0.0,900,1700,800,2,,,2.4,46.98313522338867,9.6589994430542
Rathvel,Châtel-St-Denis,Châtel-St-Denis,8.0,5.0,3.0,0.0,1211,1491,280,4,30.0,32.0,2.4,46.536598205566406,6.896896839141846
Schilt,Mollis,Mollis,6.0,3.0,3.0,0.0,1100,1602,502,2,33.0,35.0,2.4,47.48542404174805,9.293002128601074
Sollegg,Appenzell,Appenzell,7.0,5.0,2.0,0.0,813,1204,391,2,27.0,29.0,2.4,47.21883010864258,9.023334503173828
Rossberg,Oberwil,Oberwil,7.0,3.2,3.8,0.0,1148,1464,316,2,37.0,39.0,2.4,47.541481018066406,8.871923446655273
L'Orient,,L'Orient,6.0,2.0,3.0,1.0,1010,1283,273,2,30.0,32.0,2.4,46.60126495361328,6.239060878753662
Seebodenalp,Küssnacht,Küssnacht,2.5,2.0,0.5,0.0,1036,1225,189,3,15.0,16.0,2.4,47.09376525878906,8.433895111083984
Jaunpass,Boltigen,Boltigen,6.0,3.8,1.2,1.0,1406,1608,202,4,34.0,36.0,2.4,46.59294128417969,7.339478969573975
Springenboden,,Springenboden,6.0,1.5,4.0,0.5,1207,1525,318,3,28.0,30.0,2.4,46.62062454223633,7.569882392883301
Brüsti,Attinghausen,Attinghausen,1.5,0.1,1.4,0.0,1428,1601,173,4,32.0,34.0,2.4,46.8531379699707,8.628704071044922
Rüschegg,,Rüschegg,6.0,4.0,2.0,0.0,1340,1590,250,3,37.0,39.0,2.4,46.77888107299805,7.392108917236328
Le Brassus,,Le Brassus,5.0,2.5,1.5,1.0,1060,1361,301,2,30.0,32.0,2.4,46.57990264892578,6.20626974105835
Eriz,,Eriz,6.0,4.0,2.0,0.0,1044,1378,334,6,34.0,36.0,2.4,46.84681701660156,7.697291374206543
Dent de Vaulion,Vaulion,Vaulion,5.0,2.5,1.5,1.0,1150,1478,328,2,30.0,32.0,2.4,46.68792724609375,6.387874126434326
Wirzweli,Dallenwil,Dallenwil,1.0,1.0,0.0,0.0,1215,1350,135,3,31.0,33.0,2.3,46.92491912841797,8.375000953674316
Balmberg,,Balmberg,5.0,2.0,3.0,0.0,1062,1270,208,3,32.0,34.0,2.3,46.870338439941406,7.4107208251953125
Steg im Tösstal,,Steg im Tösstal,5.0,3.0,2.0,0.0,700,1000,300,2,30.0,32.0,2.3,47.35836410522461,8.922954559326172
Pany,,Pany,5.0,3.0,2.0,0.0,1330,1550,220,2,32.0,34.0,2.3,46.926002502441406,9.765871047973633
Prato,,Prato,4.0,1.0,2.0,1.0,1045,1270,225,2,21.0,22.0,2.3,46.39521789550781,8.657382011413574
Les Prés d'Orvin,,Les Prés d'Orvin,5.0,2.5,2.5,0.0,1030,1230,200,5,30.0,32.0,2.3,47.156497955322266,7.173892974853516
Haldigrat,,Haldigrat,0.0,0.0,0.0,0.0,1230,1937,707,1,,,nan,46.90304183959961,8.439825057983398
Heiden,Bischofsberg,Bischofsberg,5.0,4.0,1.0,0.0,810,940,130,2,28.0,30.0,2.3,47.43480682373047,9.53592300415039
La Corbatière,La Roche,La Roche,4.6,2.1,1.5,1.0,1090,1348,258,3,25.0,27.0,2.3,46.9293098449707,6.744411945343018
Les Genevez,,Les Genevez,4.0,2.0,1.5,0.5,1024,1147,123,2,20.0,21.0,2.3,47.2591552734375,7.129975318908691
Tenna,,Tenna,4.5,3.5,1.0,0.0,1660,1780,120,1,25.0,27.0,2.3,46.75126266479492,9.341872215270996
Fischenthal-Aurüti,Oberegg,Oberegg,4.0,1.7,1.5,0.8,827,1052,225,2,29.0,31.0,2.3,47.3167839050293,8.930787086486816
Vorderthal,Wägital,Wägital,3.0,2.0,1.0,0.0,750,1260,510,1,,,2.3,47.125816345214844,8.895785331726074
Tanzboden,Ebnat-Kappel,Ebnat-Kappel,3.5,2.0,1.5,0.0,865,1181,316,2,32.0,34.0,2.3,47.27152633666992,9.114234924316406
Oberholz,Farner,Farner,4.0,3.0,1.0,0.0,852,1155,303,3,32.0,34.0,2.3,47.26763916015625,7.625383377075195
Alpsteinblick,Gonten,Gonten,4.0,3.0,1.0,0.0,890,1142,252,3,27.0,29.0,2.3,47.326873779296875,9.360555648803711
Pian Cales,San Bernardino,San Bernardino,4.5,2.9,1.6,0.0,1625,1791,166,4,25.0,27.0,2.3,46.462459564208984,9.192255020141602
Hohe Winde,Beinwil,Beinwil,4.0,3.0,1.0,0.0,760,1060,300,2,28.0,30.0,2.3,47.359378814697266,7.607367515563965
Hohwald,Beatenberg-Waldegg,Beatenberg-Waldegg,4.0,2.0,2.0,0.0,1291,1605,314,3,32.0,34.0,2.3,46.703643798828125,7.810190677642822
Ottenleue,Sangernboden,Sangernboden,3.6,1.7,1.1,0.8,1450,1600,150,1,26.0,28.0,2.3,46.71427917480469,7.345165252685547
Heiligkreuz-First,Hasle,Hasle,4.0,2.0,2.0,0.0,1133,1468,335,2,25.0,27.0,2.3,47.01571273803711,7.64551305770874
Dent de Jaman,Montreux,Montreux,3.0,0.0,3.0,0.0,1354,1738,384,2,37.0,39.0,2.3,46.433319091796875,6.9167046546936035
Gurten,Bern,Bern,0.2,0.2,0.0,0.0,845,855,10,2,5.0,5.0,2.3,47.12507247924805,7.609008312225342
Sommartel,Le Locle,Le Locle,3.0,1.6,0.6,0.8,1117,1301,184,2,20.0,21.0,2.3,47.07339096069336,6.775059223175049
Aela,Maloja,Maloja,3.0,0.5,1.5,1.0,1801,2136,335,2,35.0,37.0,2.3,46.39104461669922,9.700577735900879
Mastrils,,Mastrils,3.0,2.0,1.0,0.0,720,940,220,1,18.0,19.0,2.3,46.95574188232422,9.541077613830566
Le Crêt-Meuron,Fontaines,Fontaines,3.0,2.0,1.0,0.0,1270,1340,70,1,25.0,27.0,2.3,46.837589263916016,6.622531890869141
Zugerberg,,Zugerberg,0.2,0.2,0.0,0.0,925,940,15,3,5.0,5.0,2.3,47.14391326904297,8.53287410736084
Chapeau Râblé,La Chaux-de-Fonds,La Chaux-de-Fonds,3.0,2.0,1.0,0.0,1087,1233,146,1,24.0,26.0,2.3,47.0870246887207,6.858084678649902
Gfellen,Entlebuch-Finsterwald,Entlebuch-Finsterwald,4.5,4.5,0.0,0.0,1025,1295,270,2,25.0,27.0,2.3,46.959228515625,8.128652572631836
Eggiwil,Netschbühl,Netschbühl,3.0,2.5,0.5,0.0,720,1020,300,1,27.0,29.0,2.3,46.88493728637695,7.770223617553711
St. Antönien,,St. Antönien,3.0,2.0,1.0,0.0,1405,1656,251,2,,,2.3,46.972530364990234,9.794449806213379
St. Cergue,,St. Cergue,3.0,2.0,1.0,0.0,1040,1220,180,3,20.0,21.0,2.3,46.45183181762695,6.173648834228516
Homberg,,Homberg,3.0,3.0,0.0,0.0,940,1093,153,1,20.0,21.0,2.2,46.96773910522461,8.124884605407715
Mutten,,Mutten,3.0,3.0,0.0,0.0,1724,1863,139,1,23.0,25.0,2.2,46.95707702636719,9.18055534362793
Münster-Geschinen,,Münster-Geschinen,3.0,3.0,0.0,0.0,1363,1645,282,2,25.0,27.0,2.2,46.50642776489258,8.259343147277832
Oberegg,Oberegg,Oberegg,3.5,3.5,0.0,0.0,855,1110,255,1,28.0,30.0,2.2,47.3167839050293,8.930787086486816
La Chia,Bulle,Bulle,3.0,3.0,0.0,0.0,998,1309,311,1,20.0,21.0,2.2,46.624298095703125,7.077528476715088
Langenbruck,Untere,Untere,3.0,3.0,0.0,0.0,720,940,220,2,35.0,37.0,2.2,46.87308883666992,8.666206359863281
La Côte-aux-Fées,,La Côte-aux-Fées,3.0,3.0,0.0,0.0,980,1080,100,1,,,2.2,46.8579216003418,6.485610008239746
Degersheim,Fuchsacker,Fuchsacker,3.0,3.0,0.0,0.0,815,1034,219,3,30.0,32.0,2.2,47.208553314208984,8.099654197692871
Saint-George,,Saint-George,2.0,1.2,0.8,0.0,977,1140,163,2,20.0,21.0,2.2,46.51337432861328,6.261445999145508
Lauenen,,Lauenen,2.5,1.3,1.2,0.0,1240,1400,160,1,37.0,39.0,2.2,46.92362976074219,8.25383472442627
Rochers de Naye,Montreux,Montreux,1.0,0.6,0.4,0.0,1898,2012,114,3,37.0,39.0,2.2,46.433319091796875,6.9167046546936035
Flensa,Seewis,Seewis,2.0,2.0,0.0,0.0,1015,1185,170,1,20.0,21.0,2.2,47.236412048339844,8.786126136779785
Oberiberg,,Oberiberg,2.2,2.2,0.0,0.0,1080,1355,275,4,28.0,30.0,2.2,47.03056335449219,8.791611671447754
Hochwacht,Mosnang,Mosnang,1.8,0.8,0.6,0.4,720,835,115,1,18.0,19.0,2.2,47.35722732543945,9.056266784667969
Grub-Kaien,,Grub-Kaien,2.0,2.0,0.0,0.0,845,1065,220,1,30.0,32.0,2.2,47.438209533691406,9.501254081726074
Campo Blenio,,Campo Blenio,2.0,2.0,0.0,0.0,1207,1578,371,3,32.0,34.0,2.2,46.556846618652344,8.909941673278809
Schwengimatt,,Schwengimatt,1.7,1.0,0.5,0.2,993,1110,117,1,17.0,18.0,2.2,47.29271697998047,7.675917625427246
Druni KidsArena,Valtgeva,Valtgeva,2.0,2.0,0.0,0.0,1447,1538,91,3,27.0,29.0,2.2,46.68167495727539,8.769193649291992
Tèct,Bergün,Bergün,2.0,2.0,0.0,0.0,1371,1540,169,2,35.0,37.0,2.2,46.63146209716797,9.744026184082031
Faltschen,Reichenbach,Reichenbach,2.2,2.2,0.0,0.0,1032,1359,327,2,32.0,34.0,2.2,46.72001266479492,8.18590259552002
Linden,Schindelberg,Schindelberg,2.2,2.2,0.0,0.0,920,1088,168,3,33.0,35.0,2.2,46.991004943847656,8.014798164367676
Brunni,Alpthal,Alpthal,1.3,1.1,0.2,0.0,1100,1200,100,1,28.0,30.0,2.2,47.08804702758789,8.721955299377441
Nods,,Nods,2.0,1.2,0.8,0.0,950,1025,75,3,16.0,17.0,2.2,47.13296127319336,7.106325626373291
Heiti,Gsteig,Gsteig,1.3,0.7,0.6,0.0,1227,1370,143,1,84.0,90.0,2.2,46.88728713989258,7.940474987030029
Schafmatt,Oltingen,Oltingen,1.0,0.6,0.4,0.0,730,857,127,1,12.0,13.0,2.2,47.43260955810547,7.9346923828125
Friherrenberg,Einsiedeln,Einsiedeln,2.0,2.0,0.0,0.0,918,1113,195,2,27.0,29.0,2.2,47.13535690307617,8.762859344482422
Nollen,Unterägeri,Unterägeri,2.0,2.0,0.0,0.0,765,1046,281,2,20.0,21.0,2.2,47.11505889892578,8.60737133026123
Schwellbrunn,,Schwellbrunn,1.0,1.0,0.0,0.0,1022,1084,62,1,28.0,30.0,2.2,47.35642623901367,9.246505737304688
Lüina,Airolo,Airolo,1.0,1.0,0.0,0.0,1180,1250,70,2,22.0,23.0,2.2,46.52952194213867,8.603241920471191
Heimenschwand,Buchholterberg,Buchholterberg,1.0,1.0,0.0,0.0,1005,1183,178,1,28.0,30.0,2.2,46.81038284301758,7.658828258514404
Hätzingen,Loh,Loh,1.0,1.0,0.0,0.0,615,701,86,1,14.0,15.0,2.2,46.995765686035156,8.419697761535645
La Lorette,Bourg-Saint-Pierre,Bourg-Saint-Pierre,1.0,1.0,0.0,0.0,1550,1600,50,1,15.0,16.0,2.2,45.89531326293945,7.182081699371338
Föhrlimatt,Wegenstetten,Wegenstetten,1.0,1.0,0.0,0.0,500,575,75,1,18.0,19.0,2.2,47.50303268432617,7.930538177490234
Péra,Trun,Trun,1.2,1.2,0.0,0.0,920,1040,120,1,24.0,26.0,2.2,46.7415885925293,8.989042282104492
Mogno,,Mogno,1.5,1.2,0.3,0.0,1150,1275,125,2,16.0,17.0,2.2,46.4313850402832,8.663200378417969
Téléconthey,Mayens de Conthey,Mayens de Conthey,1.0,1.0,0.0,0.0,1281,1439,158,1,20.0,21.0,2.2,46.258323669433594,7.301290512084961
Tristeli,St. Margrethenberg,St. Margrethenberg,1.0,1.0,0.0,0.0,1195,1447,252,1,28.0,30.0,2.2,46.981910705566406,9.502069473266602
Müsella,La Punt,La Punt,1.0,1.0,0.0,0.0,1698,1787,89,2,34.0,36.0,2.2,46.57246780395508,9.934398651123047
Dreieck,Glarus,Glarus,1.0,1.0,0.0,0.0,513,682,169,1,18.0,19.0,2.2,47.02960205078125,9.073355674743652
Hapfere,Plaffeien,Plaffeien,1.0,1.0,0.0,0.0,850,935,85,1,20.0,21.0,2.2,46.72721862792969,7.2858171463012695
Chuderhüsi,Röthenbach,Röthenbach,1.0,1.0,0.0,0.0,1018,1091,73,1,24.0,26.0,2.2,46.85408401489258,7.741570949554443
Buchserberg-Malbun,Buchs,Buchs,1.2,1.2,0.0,0.0,1379,1485,106,1,18.0,19.0,2.2,47.1531867980957,9.459579467773438
Sattelegg,Vorderthal,Vorderthal,1.0,1.0,0.0,0.0,1180,1220,40,1,18.0,19.0,2.2,47.111228942871094,8.865395545959473
Vögelinsegg,Speicher,Speicher,1.0,1.0,0.0,0.0,970,1030,60,1,26.0,28.0,2.2,47.40765380859375,9.442896842956543
Hemberg,,Hemberg,1.5,1.5,0.0,0.0,900,1193,293,2,27.0,29.0,2.2,47.30722427368164,9.177638053894043
Gais,,Gais,1.0,1.0,0.0,0.0,937,1025,88,1,,,2.2,47.080360412597656,7.845096111297607
Survih,Samedan,Samedan,1.5,1.5,0.0,0.0,1760,1912,152,3,39.0,42.0,2.2,46.53407669067383,9.870110511779785
Bennau,Einsiedeln,Einsiedeln,1.0,1.0,0.0,0.0,882,1056,174,3,34.0,36.0,2.2,47.13535690307617,8.762859344482422
Les Verrières,,Les Verrières,1.8,1.6,0.2,0.0,920,1010,90,2,10.0,11.0,2.2,46.88554763793945,6.491994857788086
Urnäsch,Osteregg,Osteregg,1.7,1.7,0.0,0.0,850,1080,230,2,27.0,29.0,2.2,47.30386734008789,9.290077209472656
Mont Gibloux,,Mont Gibloux,1.4,1.0,0.4,0.0,965,1152,187,2,18.0,19.0,2.2,46.727500915527344,7.049309253692627
Ischgl,Silvretta,Silvretta,239.0,47.0,140.0,52.0,1360,2872,1512,46,76.0,81.32,4.8,46.86532211303711,9.881555557250977
Kleine Scheidegg,Grindelwald,Grindelwald,102.0,33.0,56.0,13.0,944,2400,1456,23,79.0,84.0,4.2,47.032752990722656,8.096479415893555
Arosa,,Arosa,225.0,110.0,87.0,28.0,1229,2865,1636,43,89.0,95.0,4.7,46.792945861816406,9.699030876159668
Aletsch Arena,Riederalp,Riederalp,104.0,42.0,50.0,12.0,1845,2869,1024,35,66.0,70.0,4.4,46.37905502319336,8.026102066040039
First,Grindelwald,Grindelwald,49.0,30.0,11.0,8.0,1050,2500,1450,10,79.0,84.0,nan,47.032752990722656,8.096479415893555
Pizol,Bad Ragaz,Bad Ragaz,50.0,15.5,21.5,13.0,510,2227,1717,12,67.0,72.0,nan,46.99177932739258,9.52120304107666
Wildhaus,Gamserrugg,Gamserrugg,23.0,3.0,17.0,3.0,1020,2076,1056,6,61.0,65.0,3.9,47.159297943115234,9.337640762329102
Flumserberg,,Flumserberg,65.0,14.0,40.0,11.0,665,2222,1557,17,72.0,77.0,4.2,47.0947265625,9.323103904724121
Hohsaas,Saas-Grund,Saas-Grund,26.1,4.4,19.6,2.1,1559,3200,1641,8,59.0,63.0,3.8,46.11603927612305,7.941812038421631
Sernftal,,Sernftal,40.0,15.0,20.0,5.0,1020,2105,1085,5,53.0,57.0,3.7,46.93747329711914,9.16993522644043
Bellwald,,Bellwald,20.0,10.5,7.8,1.7,1600,2558,958,5,,,3.8,46.42961120605469,8.155799865722656
St. Moritz,Corviglia,Corviglia,155.0,42.0,79.0,34.0,1772,3057,1285,23,,,4.7,46.503509521484375,9.823087692260742
Zermatt,Zermatt,Zermatt,322.0,75.0,220.0,27.0,1562,3899,2337,51,103.0,110.0,4.5,45.983341217041016,7.783561706542969
Laax,,Laax,224.0,97.0,76.0,51.0,1100,3018,1918,30,,,4.5,46.818084716796875,9.264965057373047
Adelboden,Adelboden,Adelboden,86.0,46.0,34.0,6.0,1260,2200,940,25,60.0,64.0,4.4,47.06343460083008,8.622342109680176
Andermatt,,Andermatt,70.0,18.0,40.0,12.0,1444,2600,1156,13,89.0,95.0,4.4,46.58613204956055,8.660548210144043
4 Vallées,Verbier,Verbier,412.0,107.0,202.0,103.0,1350,3330,1980,68,89.0,95.0,4.3,46.09706115722656,7.223955154418945
Scuol,Motta Naluns,Motta Naluns,70.0,27.0,32.0,11.0,1250,2785,1535,12,69.0,74.0,4.3,46.811153411865234,10.272025108337402
Titlis,Engelberg,Engelberg,70.0,18.0,42.5,9.5,1003,3020,2017,18,,,4.3,47.18781280517578,8.010319709777832
Les Portes du Soleil,Val-d'Illiez,Val-d'Illiez,580.0,310.0,210.0,60.0,985,2254,1269,165,70.0,74.9,4.3,46.19984817504883,6.892393112182617
Parsenn,,Parsenn,95.5,17.3,60.5,17.7,810,2844,2034,18,84.0,90.0,4.2,46.81085205078125,9.845303535461426
Obersaxen,,Obersaxen,120.0,60.0,40.0,20.0,1201,2310,1109,15,65.0,69.0,4.2,46.743961334228516,9.071603775024414
Jakobshorn,,Jakobshorn,41.2,25.5,13.2,2.5,1535,2568,1033,13,84.0,90.0,4.2,46.7722282409668,9.848581314086914
Grimentz,,Grimentz,115.0,26.5,58.6,29.9,1570,2900,1330,21,72.0,77.0,4.2,46.18134689331055,7.575004577636719
Belalp,Blatten,Blatten,38.5,15.1,12.1,11.3,1322,3118,1796,13,71.0,76.0,4.1,46.79722213745117,8.013700485229492
Corvatsch,,Corvatsch,120.0,13.0,89.3,17.7,1797,3303,1506,14,,,4.1,46.417972564697266,9.821471214294434
Brigels,,Brigels,40.0,11.0,26.0,3.0,1102,2418,1316,10,65.0,69.0,nan,46.76862335205078,9.061051368713379
Rinderberg,Zweisimmen,Zweisimmen,88.9,64.3,20.6,4.0,948,2011,1063,15,84.0,90.0,nan,46.582088470458984,7.416720867156982
Saas-Fee,,Saas-Fee,100.0,20.0,60.0,20.0,1800,3573,1773,23,82.0,88.0,nan,46.11110305786133,7.92970085144043
Stoos,Fronalpstock,Fronalpstock,35.0,4.0,21.0,10.0,1300,1935,635,8,58.0,62.0,3.8,46.96971893310547,8.637025833129883
Hoch-Ybrig,Unteriberg,Unteriberg,50.0,15.0,30.0,5.0,1040,1831,791,12,59.0,63.0,3.8,47.0718879699707,8.803396224975586
Lauchernalp,Lötschental,Lötschental,40.0,18.0,15.0,7.0,1403,3100,1697,6,,,3.8,46.31977844238281,7.751288414001465
Meiringen,,Meiringen,60.0,20.0,34.0,6.0,1065,2433,1368,13,62.0,66.0,3.8,46.72377014160156,8.193720817565918
Schilthorn,Mürren,Mürren,54.0,19.0,23.0,12.0,796,2970,2174,16,79.0,84.0,3.7,46.55590057373047,7.8850555419921875
Madrisa,,Madrisa,22.9,6.2,9.2,7.5,1142,2602,1460,8,70.0,75.0,3.7,46.80320739746094,9.837043762207031
Crans-Montana,,Crans-Montana,140.0,55.0,70.0,15.0,1510,2927,1417,19,89.0,95.0,3.7,46.313446044921875,7.500048637390137
Disentis,,Disentis,60.0,20.0,30.0,10.0,1227,2833,1606,12,64.0,68.0,3.7,46.707218170166016,8.863862037658691
Zuoz,Pizzet,Pizzet,15.0,9.0,3.0,3.0,1720,2465,745,5,56.0,60.0,3.6,46.60713195800781,10.372923851013184
Gemsstock,Andermatt,Andermatt,31.0,0.0,14.0,17.0,1444,2961,1517,4,89.0,95.0,3.6,46.58613204956055,8.660548210144043
Grüsch,,Grüsch,34.0,8.0,20.0,6.0,600,1800,1200,6,61.0,65.0,3.6,46.9788818359375,9.653074264526367
Savognin,,Savognin,73.5,32.5,38.0,3.0,1168,2713,1545,12,,,3.6,46.5943489074707,9.618587493896484
Diavolezza,,Diavolezza,35.0,0.0,27.0,8.0,2093,3006,913,5,,,3.6,46.41194534301758,9.965065956115723
Villars,,Villars,84.0,43.0,38.0,3.0,1224,2120,896,25,69.0,74.0,3.5,46.6763916015625,6.500712871551514
Splügen,Tambo,Tambo,30.0,12.0,12.0,6.0,1484,2215,731,7,61.0,65.0,3.5,47.42216110229492,9.356719017028809
Eggli,Gstaad,Gstaad,58.0,35.2,17.4,5.4,992,2151,1159,9,84.0,90.0,3.5,46.483219146728516,7.274813652038574
Rinerhorn,,Rinerhorn,51.5,15.6,23.1,12.8,1459,2490,1031,7,66.0,70.0,3.5,46.743492126464844,9.78531551361084
Grächen,,Grächen,44.0,9.0,33.0,2.0,1619,2864,1245,11,69.0,74.0,3.4,46.198341369628906,7.842075824737549
Anzère,,Anzère,58.0,12.0,37.0,9.0,1516,2420,904,13,65.0,69.0,3.4,46.29863357543945,7.406392574310303
Chäserrugg,Unterwasser,Unterwasser,50.0,8.0,40.0,2.0,900,2262,1362,12,52.0,56.0,3.3,47.18274688720703,9.32045841217041
Bürchen,Moosalp,Moosalp,25.0,10.0,10.0,5.0,1476,2532,1056,8,49.0,52.0,3.3,46.236942291259766,7.852542877197266
